Interval	leadSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
2	rs11209026	1	67702526	rs11465804	2008-07-11	18587394	Barrett JC	2008-06-29	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18587394	Genome-wide association defines more than 30 distinct susceptibility loci for Crohn's disease.	Crohn's disease	3,230 European ancestry cases, 4,829 European ancestry controls	1,339 European ancestry trios, 2,325 European ancestry cases, 1,809 European ancestry controls	1p31.3	IL23R	IL23R			149233			rs11465804-T	rs11465804	0	11465804	intron_variant	0	0.93	7E-63	62.15490195998574		2.5	[NR]	Affymetrix, Illumina [635547] (imputed)	N
2	rs11209026	1	67702526	rs11465804	2010-07-12	20570966	McGovern DP	2010-06-22	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20570966	Fucosyltransferase 2 (FUT2) non-secretor status is associated with Crohn's disease.	Crohn's disease	896 European ancestry cases, 3,204 European ancestry controls	1,174 European ancestry cases, 357 European ancestry controls	1p31.3	IL23R	IL23R			149233			rs11465804-?	rs11465804	0	11465804	intron_variant	0	NR	1E-6	6.0		1.89	[1.47-2.44]	Illumina [304825]	N
2	rs11209026	1	67705958	rs11209026	2008-06-16	17447842	Libioulle C	2007-03-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/17447842	Novel Crohn disease locus identified by genome-wide association maps to a gene desert on 5p13.1 and modulates expression of PTGER4.	Crohn's disease	547 European ancestry cases, 928 European ancestry controls	1,266 European ancestry cases, 559 European ancestry controls, Up to 428 European ancestry trios	1p31.3	IL23R	IL23R			149233			rs11209026-?	rs11209026	0	11209026	missense_variant	0	0.92	2E-18	17.69897000433602		2.92	[NR]	Illumina [302451]	N
2	rs11209026	1	67705958	rs11209026	2008-09-12	18758464	Kugathasan S	2008-08-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18758464	Loci on 20q13 and 21q22 are associated with pediatric-onset inflammatory bowel disease.	Inflammatory bowel disease	1,011 European ancestry cases, 4,250 European ancestry controls	1,922 European ancestry cases, 14,124 European ancestry controls	1p31.3	IL23R	IL23R			149233			rs11209026-?	rs11209026	0	11209026	missense_variant	0	0.94	7E-11	10.154901959985743		2.56	[1.92-3.45]	Illumina [NR]	N
2	rs11209026	1	67705958	rs11209026	2009-01-21	19122664	Silverberg MS	2009-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19122664	Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.	Ulcerative colitis	1,022 European ancestry cases, 2,503 European ancestry controls	1,387 European ancestry cases, 1,115 European ancestry controls	1p31.3	IL23R	IL23R			149233			rs11209026-?	rs11209026	0	11209026	missense_variant	0	0.93	1E-8	8.0		1.79		Illumina [280748]	N
2	rs11209026	1	67705958	rs11209026	2009-12-11	19915572	Barrett JC	2009-11-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19915572	Genome-wide association study of ulcerative colitis identifies three new susceptibility loci, including the HNF4A region.	Ulcerative colitis	2,361 European ancestry cases, 5,417 European ancestry controls	2,321 European ancestry cases, 4,818 European ancestry controls	1p31.3	IL23R	IL23R			149233			rs11209026-?	rs11209026	0	11209026	missense_variant	0	NR	3E-10	9.522878745280337				Affymetrix [NR]	N
2	rs11209026	1	67705958	rs11209026	2010-02-02	20062062	Reveille JD	2010-01-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20062062	Genome-wide association study of ankylosing spondylitis identifies non-MHC susceptibility loci.	Ankylosing spondylitis	2,053 European ancestry cases, 5,140 European ancestry controls	898 European ancestry cases, 1,518 European ancestry controls	1p31.3	IL23R	IL23R			149233			rs11209026-?	rs11209026	0	11209026	missense_variant	0	0.94	9E-14	13.045757490560675		1.89	[1.56-2.27]	Illumina [288662]	N
2	rs11209026	1	67705958	rs11209026	2011-01-18	20953190	Strange A	2010-10-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20953190	A genome-wide association study identifies new psoriasis susceptibility loci and an interaction between HLA-C and ERAP1.	Psoriasis	2,178 European ancestry cases, 5,175 European ancestry controls	3,174 European ancestry cases, 5,464 European ancestry controls	1p31.3	IL23R	IL23R			149233			rs11209026-?	rs11209026	0	11209026	missense_variant	0	NR	7E-7	6.154901959985743		1.49	[1.27-1.74]	Illumina [535475]	N
2	rs11209026	1	67705958	rs11209026	2011-03-29	21297633	Anderson CA	2011-02-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21297633	Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47.	Ulcerative colitis	6,687 European ancestry cases, 19,718 European ancestry controls	9,628 European ancestry cases, 12,917 European ancestry controls	1p31.3	IL23R	IL23R			149233			rs11209026-G	rs11209026	0	11209026	missense_variant	0	0.94	5E-28	27.30102999566398		1.74	[1.57-1.92]	Affymetrix, Illumina [~ 1100000] (imputed)	N
2	rs11209026	1	67705958	rs11209026	2011-07-30	21743469	Evans DM	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743469	Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.	Ankylosing spondylitis	3,023 European ancestry cases, 8,779 European ancestry controls	2,111 European ancestry cases, 4,483 European ancestry controls	1p31.3	IL23R	IL23R			149233			rs11209026-G	rs11209026	0	11209026	missense_variant	0	0.93	2E-17	16.69897000433602				Illumina [2223620] (imputed)	N
2	rs11209026	1	67705958	rs11209026	2012-03-10	22293688	Huang J	2012-02-01	Eur J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/22293688	1000 Genomes-based imputation identifies novel and refined associations for the Wellcome Trust Case Control Consortium phase 1 Data.	Crohn's disease	16,179 European ancestry individuals	NA	1p31.3	IL23R	IL23R			149233			rs11209026-?	rs11209026	0	11209026	missense_variant	0	NR	4E-21	20.397940008672037		3.18	[2.91-3.44]	NR [6233112] (imputed)	N
2	rs11209026	1	67705958	rs11209026	2012-04-03	22412388	Kenny EE	2012-03-08	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/22412388	A genome-wide scan of Ashkenazi Jewish Crohn's disease suggests novel susceptibility loci.	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	971 Ashkenazi Jewish cases, 2,124 Ashkenazi Jewish controls	1p31.3	IL12RB2, C1orf141, SERBP1, SLC35D1, IL23R	IL23R			149233			rs11209026-G	rs11209026	0	11209026	missense_variant	0	0.921	1E-18	18.0		2.2	[2.10-2.35]	Affymetrix, Illumina [1060934] (imputed)	N
2	rs11209026	1	67705958	rs11209026	2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	1p31.3	IL23R	IL23R			149233			rs11209026-G	rs11209026	0	11209026	missense_variant	0	0.932	1E-64	64.0		2.66	[2.36-3.00]	Affymetrix, Illumina [953241] (imputed)	N
2	rs11209026	1	67705958	rs11209026	2012-11-16	22936669	Julia A	2012-08-30	Gut	www.ncbi.nlm.nih.gov/pubmed/22936669	A genome-wide association study on a southern European population identifies a new Crohn's disease susceptibility locus at RBX1-EP300.	Crohn's disease	1,277 European ancestry cases, 1,488 European ancestry controls	1,365 European ancestry cases, 1,396 European ancestry controls	1p31.3	IL23R	IL23R			149233			rs11209026-G	rs11209026	0	11209026	missense_variant	0	NR	4E-14	13.397940008672037		2.84	[NR]	Illumina [508934]	N
2	rs11209026	1	67705958	rs11209026	2013-02-12	23128233	Jostins L	2012-11-01	Nature	www.ncbi.nlm.nih.gov/pubmed/23128233	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	25,683 European ancestry cases, 17,015 European ancestry controls	1p31.3	IL12RB2, IL23R	IL23R			149233			rs11209026-G	rs11209026	0	11209026	missense_variant	0	0.933	8E-161	160.09691001300806		2.013	[1.885-2.15]	Affymetrix, Illumina [1230000] (imputed)	N
2	rs11209026	1	67705958	rs11209026	2015-12-18	25574825	Baurecht H	2015-01-08	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/25574825	Genome-wide Comparative Analysis of Atopic Dermatitis and Psoriasis Gives Insight into Opposing Genetic Mechanisms.	Inflammatory skin disease	2,079 European ancestry atopic dermatitis cases, 4,212 European ancestry psoriasis cases, 11,899 European ancestry controls	NA	1p31.3	IL23R	IL23R			149233			rs11209026-?	rs11209026	0	11209026	missense_variant	0	NR	2E-10	9.698970004336019	(Psoriasis)			Affymetrix, Illumina [~ 5200000]	N
2	rs11209026	1	67708155	rs80174646	2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Ulcerative colitis	6,968 European ancestry cases, 20,464 European ancestry controls	10,679 European ancestry cases, 26,715 European ancestry controls, 397 Iranian ancestry cases, 342 Iranian ancestry controls, 1,239 Indian ancestry cases, 990 Indian ancestry controls, 1,134 East Asian ancestry cases, 3,719 East Asian ancestry controls	1p31.3	NR	IL23R			149233			rs80174646-C	rs80174646		80174646	intron_variant	0	0.93	4E-62	61.39794000867204	(EA)	1.614317		Affymetrix, Illumina [~ 9000000] (imputed)	N
2	rs11805303	1	67725120	rs10889677	2009-01-21	19122664	Silverberg MS	2009-01-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19122664	Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.	Ulcerative colitis	1,022 European ancestry cases, 2,503 European ancestry controls	1,387 European ancestry cases, 1,115 European ancestry controls	1p31.3	IL23R	IL23R			149233			rs10889677-A	rs10889677	0	10889677	3_prime_UTR_variant	0	0.30	1E-8	8.0		1.29		Illumina [280748]	N
2	rs11209026	1	67731368	rs7547569	2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Inflammatory bowel disease	12,882 European ancestry cases, 21,770 European ancestry controls	25,273 European ancestry cases, 26,715 European ancestry controls, 548 Iranian ancestry cases, 342 Iranian ancestry control, 1,423 Indian ancestry cases, 990 Indian ancestry controls, 2,824 East Asian ancestry cases, 3,719 East Asian ancestry controls	1p31.3	NR	IL23R - LOC100130497	149233	100130497		5706	12367	rs7547569-?	rs7547569		7547569	downstream_gene_variant	1	NR	2E-170	169.69897000433602	(EA)			Affymetrix, Illumina [~ 9000000] (imputed)	N
2	rs11209032	1	67747415	rs12119179	2015-12-18	25574825	Baurecht H	2015-01-08	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/25574825	Genome-wide Comparative Analysis of Atopic Dermatitis and Psoriasis Gives Insight into Opposing Genetic Mechanisms.	Inflammatory skin disease	2,079 European ancestry atopic dermatitis cases, 4,212 European ancestry psoriasis cases, 11,899 European ancestry controls	NA	1p31.3	retro-DNAJB6	LOC100130497 - IL12RB2	100130497	3595		2953	25619	rs12119179-?	rs12119179	0	12119179	downstream_gene_variant	1	NR	6E-13	12.221848749616356	(Psoriasis)			Affymetrix, Illumina [~ 5200000]	N
2	rs6660226	1	67753508	rs1495965	2010-08-30	20622879	Mizuki N	2010-07-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20622879	Genome-wide association studies identify IL23R-IL12RB2 and IL10 as Beh&#x000e7;et's disease susceptibility loci.	Behcet's disease	611 Japanese ancestry cases, 737 Japanese ancestry controls	119 Korean ancestry cases, 140 Korean ancestry controls, 1,215 Turkish cases, 1,279 Turkish controls	1p31.3	IL12RB2, IL23R	LOC100130497 - IL12RB2	100130497	3595		9046	19526	rs1495965-G	rs1495965	0	1495965	intergenic_variant	1	0.51	2E-11	10.698970004336019		1.35	[1.24-1.47]	Affymetrix [320438]	N
2	rs6660226	1	67760140	rs924080	2010-08-18	20622878	Remmers EF	2010-07-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20622878	Genome-wide association study identifies variants in the MHC class I, IL10, and IL23R-IL12RB2 regions associated with Beh&#x000c3;&#x000a7;et's disease.	Behcet's disease	1,215 Turkish ancestry cases, 1,278 Turkish ancestry controls	Up to 111 Turkish ancestry cases, 225 Turkish ancestry controls, 189 Middle Eastern Arab ancestry cases, 163 Middle Eastern Arab ancestry controls, 227 European ancestry cases, 203 European ancestry controls, 688 East Asian ancestry cases, 791 East Asian ancestry controls	1p31.3	IL12RB2, IL23R	LOC100130497 - IL12RB2	100130497	3595		15678	12894	rs924080-?	rs924080	0	924080	intergenic_variant	1	NR	7E-9	8.154901959985743		1.28	[1.18-1.39]	Illumina [311459]	N
3	rs2476601	1	114303808	rs6679677	2008-06-16	17554260	Todd JA	2007-06-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17554260	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	Type 1 diabetes	2,000 European ancestry cases, 3,000 European ancestry controls	2,997 European ancestry trios, 4,000 European ancestry cases, 5,000 European ancestry controls	1p13.2	PHTF1, PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.10	8E-24	23.096910013008056		1.89	[1.67-2.13]	Affymetrix [NR]	N
3	rs2476601	1	114303808	rs6679677	2008-06-16	17554300	WTCCC	2007-06-07	Nature	www.ncbi.nlm.nih.gov/pubmed/17554300	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	Rheumatoid arthritis	1,860 European ancestry cases, 2,938 European ancestry controls	NA	1p13.2	PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.10	6E-25	24.221848749616356		1.98	[1.72-2.27]	Affymetrix [469557]	N
3	rs2476601	1	114303808	rs6679677	2008-06-16	17554300	WTCCC	2007-06-07	Nature	www.ncbi.nlm.nih.gov/pubmed/17554300	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	Type 1 diabetes	1,963 European ancestry cases, 2,938 European ancestry controls	(see Todd 2007)	1p13.2	PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.10	5E-26	25.30102999566398		1.82	[1.59-2.09]	Affymetrix [469557]	N
3	rs2476601	1	114303808	rs6679677	2008-09-25	18794853	Raychaudhuri S	2008-09-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18794853	Common variants at CD40 and other loci confer risk of rheumatoid arthritis.	Rheumatoid arthritis	3,393 European ancestry cases, 12,460 European ancestry controls	3,929 European ancestry cases, 5,807 European ancestry controls	1p13.2	PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-?	rs6679677	0	6679677	upstream_gene_variant	1	0.10	6E-42	41.221848749616356		1.79	[1.65-1.94]	Affymetrix, Illumina [at least 315971] (imputed)	N
3	rs2476601	1	114303808	rs6679677	2008-11-26	18978792	Cooper JD	2008-11-02	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18978792	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	Type 1 diabetes	3,561 European ancestry cases, 4,646 European ancestry controls	6,225 European ancestry cases, 6,946 European ancestry controls, 3,064 European ancestry trios from 2,828 families	1p13.2	PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	NR	1E-40	40.0				Affymetrix [up to 335565]	N
3	rs2476601	1	114303808	rs6679677	2012-05-25	22493691	Eriksson N	2012-04-06	PLoS One	www.ncbi.nlm.nih.gov/pubmed/22493691	Novel associations for hypothyroidism include known autoimmune risk loci.	Hypothyroidism	3,736 European ancestry cases, 35,546 European ancestry controls	NA	1p13.2	PHTF1, RSBN1, PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.091	3E-13	12.522878745280337		1.361	[1.25-1.48]	Illumina [870065]	N
3	rs2476601	1	114303808	rs6679677	2013-02-12	23128233	Jostins L	2012-11-01	Nature	www.ncbi.nlm.nih.gov/pubmed/23128233	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	Crohn's disease	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	Up to 25,683 European ancestry cases, up to 17,015 European ancestry controls	1p13.2	DCLRE1B, PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-C	rs6679677	0	6679677	upstream_gene_variant	1	0.907	2E-15	14.698970004336019		1.196	[1.129-1.268]	Affymetrix, Illumina [1230000] (imputed)	N
3	rs2476601	1	114303808	rs6679677	2016-08-31	26301688	Li YR	2015-08-24	Nat Med	www.ncbi.nlm.nih.gov/pubmed/26301688	Meta-analysis of shared genetic architecture across ten pediatric autoimmune diseases.	Pediatric autoimmune diseases	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	NA	1p13.2	PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.09	8E-11	10.096910013008056				Illumina [7347414] (imputed)	N
3	rs2476601	1	114303808	rs6679677	2016-09-23	26502338	Bentham J	2015-10-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26502338	Genetic association analyses implicate aberrant regulation of innate and adaptive immunity genes in the pathogenesis of systemic lupus erythematosus.	Systemic lupus erythematosus	5,201 European ancestry cases, 9,066 European ancestry controls	NA	1p13.2	PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1		1E-15	15.0		1.39	[NR]	Illumina [> 644674] (imputed)	N
3	rs2476601	1	114303808	rs6679677	2008-06-16	17554260	Todd JA	2007-06-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17554260	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	Type 1 diabetes	2,000 European ancestry cases, 3,000 European ancestry controls	2,997 European ancestry trios, 4,000 European ancestry cases, 5,000 European ancestry controls	1p13.2	PHTF1, PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.10	8E-24	23.096910013008056		1.89	[1.67-2.13]	Affymetrix [NR]	N
3	rs2476601	1	114303808	rs6679677	2008-06-16	17554300	WTCCC	2007-06-07	Nature	www.ncbi.nlm.nih.gov/pubmed/17554300	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	Rheumatoid arthritis	1,860 European ancestry cases, 2,938 European ancestry controls	NA	1p13.2	PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.10	6E-25	24.221848749616356		1.98	[1.72-2.27]	Affymetrix [469557]	N
3	rs2476601	1	114303808	rs6679677	2008-06-16	17554300	WTCCC	2007-06-07	Nature	www.ncbi.nlm.nih.gov/pubmed/17554300	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	Type 1 diabetes	1,963 European ancestry cases, 2,938 European ancestry controls	(see Todd 2007)	1p13.2	PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-A	rs6679677	0	6679677	upstream_gene_variant	1	0.10	5E-26	25.30102999566398		1.82	[1.59-2.09]	Affymetrix [469557]	N
3	rs2476601	1	114303808	rs6679677	2008-09-25	18794853	Raychaudhuri S	2008-09-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18794853	Common variants at CD40 and other loci confer risk of rheumatoid arthritis.	Rheumatoid arthritis	3,393 European ancestry cases, 12,460 European ancestry controls	3,929 European ancestry cases, 5,807 European ancestry controls	1p13.2	PTPN22	PHTF1 - RSBN1	10745	54665		1294	646	rs6679677-?	rs6679677	0	6679677	upstream_gene_variant	1	0.10	6E-42	41.221848749616356		1.79	[1.65-1.94]	Affymetrix, Illumina [at least 315971] (imputed)	N
